,City,Country,Lat,Lng,Cloudiness,Humidity,Max Temp,Wind Speed
0,Luderitz,NA,-26.6481,15.1594,32,70,61.05,5.01
1,Hobart,AU,-42.8826,147.3281,100,52,65.08,16.96
2,Ushuaia,AR,-54.807,-68.3074,100,83,53.42,3.42
3,Vardo,US,39.6165,-77.7392,0,49,66.31,5.28
4,Longjiang,CN,47.3301,123.1838,100,98,31.78,13.18
5,Bambous Virieux,MU,-20.3428,57.7575,95,82,76.24,11.25
6,Albany,US,42.6512,-73.755,0,57,63.88,8.57
7,Hithadhoo,MV,-0.6,73.0833,100,83,78.94,10.74
8,Cockburn Town,TC,21.4612,-71.1419,84,70,82.47,19.33
9,Pisco,PE,-13.71,-76.203,4,47,75.54,7.61
10,Tiksi,RU,71.6366,128.8685,0,86,2.39,9.64
11,Lavrentiya,RU,65.5842,-170.989,38,75,27.39,12.28
12,Mossoro,BR,-5.1875,-37.3442,0,26,98.08,9.48
13,Chuy,UY,-33.6938,-53.4562,0,57,68.49,10.0
14,Upernavik,GL,72.7868,-56.1549,100,58,31.73,11.39
15,Rikitea,PF,-23.1203,-134.9692,88,85,71.51,22.41
16,Saskylakh,RU,71.965,114.0939,0,87,6.06,16.08
17,Dingle,PH,11.0001,122.6718,0,90,75.24,7.25
18,Busselton,AU,-33.6445,115.3489,61,73,57.06,11.81
19,New Norfolk,AU,-42.7802,147.0615,97,43,64.11,5.84
20,North Bend,US,43.4065,-124.2243,80,81,45.66,7.14
21,Georgetown,GY,6.8026,-58.1629,55,78,85.32,13.35
22,Kushiro,JP,43.1128,144.1501,100,85,44.87,3.71
23,Chifeng,CN,42.2683,118.9636,0,51,29.01,21.27
24,Saint George,GR,39.4548,22.34,0,26,75.72,4.99
25,Nome,US,30.0358,-94.4244,0,75,72.5,10.67
26,Moratuwa,LK,6.7747,79.8826,100,94,76.1,2.8
27,Thompson,CA,55.7433,-97.8635,99,74,28.09,6.85
28,Butaritari,KI,3.0707,172.7902,44,69,84.2,6.29
29,Mar del Plata,AR,-46.4276,-67.5191,5,23,66.65,18.03
30,Bluff,AU,-23.58,149.0661,35,82,64.58,7.02
31,Khatanga,RU,71.9801,102.4743,2,87,4.59,4.47
32,Sao Filipe,CV,14.8961,-24.4956,0,78,75.02,17.87
33,Charters Towers,AU,-20.0715,146.271,100,84,65.03,11.1
34,Goundam,ML,16.4169,-3.6637,0,10,104.92,11.12
35,Torbay,CA,47.6577,-52.727,100,85,48.09,23.51
36,Constitucion,MX,23.9912,-104.675,35,61,65.7,1.79
37,Yellowknife,CA,62.4541,-114.3774,100,91,34.99,14.85
38,Cape Town,ZA,-33.929,18.4174,97,43,65.91,15.32
39,Gulfport,US,30.3674,-89.0929,87,56,66.47,5.35
40,Ribas do Rio Pardo,BR,-20.4478,-53.761,0,22,93.79,6.89
41,Parakou,BJ,9.34,2.6278,84,54,88.47,0.2
42,Coahuayana,MX,18.6201,-100.3453,34,86,74.89,1.07
43,Jamestown,AU,-33.2075,138.6035,100,86,53.78,16.55
44,Peniche,PT,39.3566,-9.3813,44,73,66.6,5.68
45,Ponta do Sol,BR,-20.6335,-45.9989,96,60,79.48,7.49
46,Castro,CL,-42.4824,-73.7644,100,64,54.34,4.32
47,Pokrovsk,RU,61.484,129.1357,100,92,17.94,1.12
48,Vila,IT,45.1829,8.402,100,92,60.03,6.08
